driverId,year,total_points,races_entered,dnfs,avg_grid,avg_finish,completed_races,ref,constructor
4,2024,45.0,13,0,9.615384615384615,9.923076923076923,9,alonso,117
855,2024,0.0,13,1,16.083333333333332,15.416666666666666,2,zhou,15
825,2024,5.0,13,1,15.583333333333334,13.166666666666666,6,kevin_magnussen,210
817,2024,6.0,13,2,13.181818181818182,12.545454545454545,3,ricciardo,215
848,2024,4.0,13,3,11.2,13.2,4,albon,3
807,2024,20.0,13,1,11.416666666666666,10.416666666666666,8,hulkenberg,210
822,2024,0.0,13,1,13.75,15.583333333333334,2,bottas,15
858,2024,0.0,12,2,17.4,16.7,2,sargeant,3
860,2024,6.0,1,0,11.0,7.0,1,bearman,6
842,2020,75.0,17,3,10.285714285714286,8.285714285714286,10,gasly,213
839,2020,62.0,17,4,10.538461538461538,8.307692307692308,9,ocon,4
842,2021,110.0,22,3,6.631578947368421,7.7368421052631575,13,gasly,213
839,2021,74.0,22,3,10.263157894736842,9.157894736842104,9,ocon,214
852,2021,32.0,22,4,11.444444444444445,11.722222222222221,7,tsunoda,213
839,2022,89.0,22,2,10.2,8.2,17,ocon,214
852,2022,12.0,22,6,11.875,13.0625,8,tsunoda,213
842,2022,23.0,22,3,11.0,11.578947368421053,13,gasly,213
839,2023,56.0,22,6,10.0625,9.3125,13,ocon,214
842,2023,54.0,22,1,10.952380952380953,10.238095238095237,19,gasly,214
852,2023,14.0,22,2,13.9,12.55,14,tsunoda,213
859,2023,2.0,5,0,13.8,12.2,3,lawson,213
852,2024,21.0,13,1,10.416666666666666,11.416666666666666,5,tsunoda,215
839,2024,3.0,13,1,14.75,13.5,5,ocon,214
842,2024,6.0,13,3,14.1,12.6,5,gasly,214
154,2020,2.0,15,3,13.416666666666666,14.666666666666666,6,grosjean,210
20,2020,33.0,17,2,11.866666666666667,10.4,9,vettel,6
857,2023,82.0,22,3,9.421052631578947,9.631578947368421,14,piastri,1
840,2024,24.0,13,1,11.75,11.166666666666666,8,stroll,117
154,2014,8.0,19,6,15.0,12.846153846153847,2,grosjean,208
